id,priority,phase,area,title,description,acceptance_criteria,test_mcp,required_skills,required_mcp,review_initial_requirements,review_regression_requirements,dev_state,review_initial_state,review_regression_state,git_state,owner,refs,notes
SPEC-01,P1,1,frontend,Implement visual shell and accessible component system,"Apply the clean efficiency visual direction across header, tabs, cards, buttons, form fields, toast, and motion without adding a frontend framework.",WHEN app opens THEN colors use #0D9488 #14B8A6 #F97316 #F0FDFA #134E4A #FFFFFF; WHEN keyboard focus reaches buttons and inputs THEN visible focus state is present; WHEN prefers-reduced-motion is enabled THEN motion is reduced; WHEN UI text is scanned THEN no user-facing “禅道” text remains,AUTOFRONTEND,ui-ux-pro-max;playwright-mcp-autotest;superpowers:test-driven-development;superpowers:verification-before-completion,playwright,"Review the visual system against the source colors, system font stack, focus states, aria-live usage, and no-framework constraint before committing.","Run browser/UI checks for header, tabs, forms, toast, reduced-motion behavior, and absence of “禅道” in visible text.",已完成,已完成,已完成,已提交,,docs/design/2026-06-08-ui-redesign-design.md:194; docs/design/2026-06-08-ui-redesign-design.md:238; src/renderer/index.html:10; src/renderer/index.html:13; src/renderer/index.html:54; src/renderer/styles.css:1; src/renderer/styles.css:35; src/renderer/styles.css:62; src/renderer/styles.css:83; src/renderer/styles.css:115; src/renderer/styles.css:341; src/renderer/styles.css:351,"source_doc:docs/design/2026-06-08-ui-redesign-design.md; risk:medium broad visual restyle can regress keyboard access; picked_reason:P1 visual shell now follows record flow and must remove legacy visible wording; validation_limited:Playwright MCP tools unavailable in current tool list, using npx playwright fallback browser checks; review_initial:checked source colors #0D9488 #14B8A6 #F97316 #F0FDFA #134E4A #FFFFFF, system font stack, focus states, aria-live project/notes/toast, and no-framework constraint; review_regression:NODE_PATH=/tmp/wdn-playwright-runner/node_modules node /tmp/spec01_visual_shell_check.js exit 0 covers header/tabs/cards/forms/toast colors, visible focus, reduced-motion media behavior, and absence of visible 禅道 text; verification:spec01 playwright fallback exit 0; spec02 playwright fallback exit 0; cargo check exit 0; npm run check exit 0; git diff --check exit 0; skills_used:ui-ux-pro-max,playwright-mcp-autotest,superpowers:test-driven-development,superpowers:verification-before-completion; mcp_used:playwright unavailable as MCP in current tool list; fallback npx playwright browser check used; done_at:2026-06-08; continue_now:SPEC-06/Implement organizer page tabs and status feedback"
SPEC-02,P0,2,frontend,Implement chat-style record page interactions,"Rework the record page as the default fast-entry screen with chat-style note flow, bottom input, project tag hints, and focus retention.",WHEN app starts or tray opens notes THEN record page is active and input is focused; WHEN user enters a one-line note THEN it saves and input clears then refocuses; WHEN user enters #项目名 内容 THEN project/tag metadata is parsed; WHEN Shift+Enter is pressed THEN input creates a newline; WHEN save fails THEN input content remains,AUTOE2E,ui-ux-pro-max;playwright-mcp-autotest;superpowers:test-driven-development;superpowers:verification-before-completion,playwright,"Review parser behavior, focus behavior, empty state, edit/delete actions, and Enter/Shift+Enter handling against the design before committing.","Run UI flow checks for one-line save, #项目名 parsing, no-project save, edit project/tag, delete confirmation, and empty state.",已完成,已完成,已完成,已提交,,docs/design/2026-06-08-ui-redesign-design.md:53; docs/design/2026-06-08-ui-redesign-design.md:93; README.md:7; docs/usage.md:16; src/renderer/index.html:23; src/renderer/index.html:35; src/renderer/app.js:60; src/renderer/app.js:67; src/renderer/app.js:95; src/renderer/app.js:135; src/renderer/app.js:179; src/renderer/app.js:320; src/renderer/styles.css:264; src/renderer/styles.css:301; src/renderer/styles.css:309; src/renderer/styles.css:316,"source_doc:docs/design/2026-06-08-ui-redesign-design.md; risk:medium record entry speed is a primary goal; picked_reason:P0 default record flow is primary user entry point and must precede visual shell polish; validation_limited:Playwright MCP tools unavailable in current tool list, using npx playwright fallback browser checks; review_initial:checked parser behavior, boot/tray focus, empty state, chat bubble flow, edit/delete actions, Enter submit, Shift+Enter newline, and save-failure retention; review_regression:NODE_PATH=/tmp/wdn-playwright-runner/node_modules node /tmp/spec02_record_flow_check.js exit 0 covers one-line save, #项目名 parsing, no-project save, edit project/tag, delete confirmation, empty state, route focus, Shift+Enter, and save failure retention; verification:npx playwright version 1.60.0 available; npm run check exit 0; cargo check exit 0; git diff --check exit 0; skills_used:ui-ux-pro-max,playwright-mcp-autotest,superpowers:test-driven-development,superpowers:verification-before-completion; mcp_used:playwright unavailable as MCP in current tool list; fallback npx playwright browser check used; done_at:2026-06-08; continue_now:SPEC-01/Implement visual shell and accessible component system"
SPEC-03,P0,3,backend,Implement sync-ready storage layout and atomic writes,"Introduce sync-data/local-data file layout, local secrets separation, and safe JSON write behavior while keeping app-data directory storage.",WHEN data is initialized THEN sync-data and local-data layout exists under the Tauri app data directory; WHEN API Key is saved THEN it is written only to local-data/secrets.json; WHEN JSON is written THEN a temp file is replaced atomically; WHEN partially missing files are read THEN defaults are used without crashing,MIGRATION,superpowers:test-driven-development;superpowers:verification-before-completion,,"Review sync-data/local-data boundaries, local secrets handling, default file creation, and atomic write sequence before committing.","Run /tmp python3 scripts for directory layout creation, local-data secrets isolation, temp-file replacement, and missing-file defaults.",已完成,已完成,已完成,已提交,,README.md:13; docs/design/2026-06-08-ui-redesign-design.md:275; docs/design/2026-06-08-ui-redesign-design.md:279; docs/design/2026-06-08-ui-redesign-design.md:321; docs/design/2026-06-08-ui-redesign-design.md:408; docs/usage.md:28; src-tauri/src/main.rs:131; src-tauri/src/main.rs:132; src-tauri/src/store.rs:145; src-tauri/src/store.rs:242; src-tauri/src/store.rs:292; src-tauri/src/store.rs:319; src-tauri/src/store.rs:369; src-tauri/src/store.rs:394; src-tauri/src/store.rs:498; src-tauri/src/store.rs:69,"source_doc:docs/design/2026-06-08-ui-redesign-design.md; risk:high storage layout changes affect persistence; picked_reason:P0 storage layout is foundation for later note schema, settings, and organizer persistence; review_initial:checked sync-data/local-data boundaries, secrets isolation, default creation, atomic temp rename sequence; review_regression:/tmp/spec03_storage_check.py exit 0 covers layout, local-data secrets, no secret under sync-data, dated notes, tmp cleanup, missing settings defaults; verification:cargo check exit 0; npm run check exit 0; git diff --check exit 0; skills_used:superpowers:test-driven-development,superpowers:verification-before-completion; mcp_used:none-required; done_at:2026-06-08; continue_now:SPEC-04/Implement note schema soft delete and change log"
SPEC-04,P0,4,backend,Implement note schema soft delete and change log,"Update note persistence to include project/tags, revisions, device metadata, soft delete, and append-only note change records.",WHEN a note is created THEN it includes id content tags project createdAt updatedAt deletedAt revision updatedBy; WHEN note is updated THEN revision increments and note_updated is appended to changes; WHEN note is deleted THEN deletedAt is set and note_deleted is appended without hard removal; WHEN notes are listed THEN deleted notes are hidden; WHEN old or missing note fields are read THEN app does not crash,MIGRATION,superpowers:test-driven-development;superpowers:verification-before-completion,,"Review note schema, #项目名 metadata propagation, revision increments, soft delete filtering, and change log append behavior before committing.","Run /tmp python3 scripts for note create/update/delete, deleted-note hiding, missing-field compatibility, and changes jsonl records.",已完成,已完成,已完成,已提交,,docs/design/2026-06-08-ui-redesign-design.md:334; docs/design/2026-06-08-ui-redesign-design.md:390; docs/design/2026-06-08-ui-redesign-design.md:408; README.md:8; docs/usage.md:28; src-tauri/src/store.rs:20; src-tauri/src/store.rs:117; src-tauri/src/store.rs:126; src-tauri/src/store.rs:154; src-tauri/src/store.rs:194; src-tauri/src/store.rs:207; src-tauri/src/store.rs:230; src-tauri/src/store.rs:274; src-tauri/src/store.rs:318; src-tauri/src/store.rs:403; src-tauri/src/store.rs:545; src-tauri/src/store.rs:583; src-tauri/src/store.rs:655,"source_doc:docs/design/2026-06-08-ui-redesign-design.md; risk:high note schema changes affect all record flows; validation_limited:old-data migration is compatibility-focused, not full migration; picked_reason:P0 note schema and soft delete are required before organizer and UI flows can rely on revisioned source notes; review_initial:checked note schema fields, #项目名 parser, revision increments, deletedAt filtering, device updatedBy, changes jsonl append; review_regression:/tmp/spec04_note_schema_check.py exit 0 covers create/update/delete, hidden deleted note, missing-field compatibility, and note_created/note_updated/note_deleted jsonl records; verification:/tmp/spec03_storage_check.py exit 0; /tmp/spec04_note_schema_check.py exit 0; cargo check exit 0; npm run check exit 0; git diff --check exit 0; skills_used:superpowers:test-driven-development,superpowers:verification-before-completion; mcp_used:none-required; done_at:2026-06-08; continue_now:SPEC-05/Implement organizer result contract and persistence"
SPEC-05,P0,5,both,Implement organizer result contract and persistence,"Change organizer output from legacy daily text only to structured dailyText, categorySummaries, projectSummaries, tomorrowPlan, and sourceRevisionHash persisted per day.","WHEN organizer runs THEN AI request includes non-deleted notes, user project/tag hints, template, and category/project requirements; WHEN AI returns JSON THEN app accepts dailyText categorySummaries projectSummaries tomorrowPlan; WHEN result is saved THEN daily result file includes sourceNoteIds sourceRevisionHash templateVersion promptVersion model generatedAt and revision; WHEN notes change after generation THEN sourceRevisionHash differs",CONTRACT,superpowers:test-driven-development;superpowers:verification-before-completion,,"Review AI prompt, response normalization, legacy naming removal, result persistence, and sourceRevisionHash calculation before committing.","Run contract checks for valid AI JSON, malformed AI JSON, empty notes, missing AI config, project priority order, and result file shape.",已完成,已完成,已完成,已提交,,docs/design/2026-06-08-ui-redesign-design.md:126; docs/design/2026-06-08-ui-redesign-design.md:358; docs/design/2026-06-08-ui-redesign-design.md:415; README.md:10; docs/usage.md:22; src-tauri/src/ai_client.rs:18; src-tauri/src/ai_client.rs:98; src-tauri/src/ai_client.rs:136; src-tauri/src/ai_client.rs:159; src-tauri/src/store.rs:88; src-tauri/src/store.rs:97; src-tauri/src/store.rs:382; src-tauri/src/store.rs:662; src-tauri/src/main.rs:64; src/renderer/app.js:14; src/renderer/app.js:209,"source_doc:docs/design/2026-06-08-ui-redesign-design.md; risk:high AI response contract and saved result shape both change; picked_reason:P0 organizer contract consumes revisioned notes and unblocks result tabs/stale checks; review_initial:checked AI prompt includes non-deleted notes, project/tag hints, template, category/project requirements, structured fields, result persistence, and sourceRevisionHash calculation; review_regression:/tmp/spec05_organizer_contract_check.py exit 0 covers valid AI JSON, malformed AI JSON, empty notes, missing AI config, project priority order, daily result file shape, and hash change after note revision; verification:/tmp/spec05_organizer_contract_check.py exit 0; cargo check exit 0; npm run check exit 0; git diff --check exit 0; skills_used:superpowers:test-driven-development,superpowers:verification-before-completion; mcp_used:none-required; done_at:2026-06-08; continue_now:SPEC-02/Implement chat-style record page interactions"
SPEC-06,P1,6,frontend,Implement organizer page tabs and status feedback,"Rebuild the organizer page around one Start Organizing action, three result tabs, copy text action, stale-result hint, loading state, and errors.",WHEN user clicks “开始整理” THEN one request fills 日报文本 分类展示 项目展示; WHEN results appear THEN 日报文本 tab is selected by default; WHEN copy succeeds or fails THEN a clear toast/status appears; WHEN notes changed after result generation THEN page shows “事项已变化，可重新整理”; WHEN no notes or AI config is missing THEN no AI request is sent and the error is visible,AUTOE2E,ui-ux-pro-max;playwright-mcp-autotest;superpowers:test-driven-development;superpowers:verification-before-completion,playwright,"Review result tab semantics, loading disabled state, error paths, copy action, and sourceRevisionHash stale hint before committing.","Run UI flow checks for empty notes, missing AI config, successful result tabs, stale-result hint, and clipboard copy feedback.",已完成,已完成,已完成,已提交,,docs/design/2026-06-08-ui-redesign-design.md:66; docs/design/2026-06-08-ui-redesign-design.md:128; docs/design/2026-06-08-ui-redesign-design.md:138; docs/design/2026-06-08-ui-redesign-design.md:166; docs/usage.md:22; src/renderer/index.html:47; src/renderer/index.html:54; src/renderer/index.html:57; src/renderer/app.js:45; src/renderer/app.js:255; src/renderer/app.js:280; src/renderer/app.js:288; src/renderer/app.js:301; src/renderer/app.js:334; src/renderer/app.js:362; src/renderer/styles.css:361; src/renderer/styles.css:365; src/renderer/styles.css:375,"source_doc:docs/design/2026-06-08-ui-redesign-design.md; risk:medium multi-panel result UI can overstate AI success if error paths are weak; picked_reason:P1 organizer UI consumes SPEC-05 structured result and enables user-visible completion; validation_limited:Playwright MCP tools unavailable in current tool list, using npx playwright fallback browser checks; review_initial:checked result tab semantics, loading disabled state, no-notes/no-config error paths, copy action status, and sourceRevisionHash stale hint; review_regression:NODE_PATH=/tmp/wdn-playwright-runner/node_modules node /tmp/spec06_organizer_ui_check.js exit 0 covers empty notes, missing AI config, successful result tabs, stale-result hint, and clipboard copy feedback; verification:spec06 playwright fallback exit 0; spec01 playwright fallback exit 0; cargo check exit 0; npm run check exit 0; git diff --check exit 0; skills_used:ui-ux-pro-max,playwright-mcp-autotest,superpowers:test-driven-development,superpowers:verification-before-completion; mcp_used:playwright unavailable as MCP in current tool list; fallback npx playwright browser check used; done_at:2026-06-08; continue_now:SPEC-07/Implement layered settings and advanced preferences"
SPEC-07,P1,7,both,Implement layered settings and advanced preferences,"Keep AI endpoint, API Key, model, and reminder time visible while moving template, project rules, startup page, Enter behavior, and reminder strategy into collapsed advanced settings.",WHEN settings page opens THEN basic AI and reminder fields are visible; WHEN advanced settings are collapsed THEN daily template project rules startup page Enter behavior and reminder strategy are hidden; WHEN advanced settings are expanded THEN those fields are editable; WHEN API Key is displayed THEN it is not fully revealed by default; WHEN reminder time is invalid THEN it returns to 18:00,AUTOE2E,ui-ux-pro-max;playwright-mcp-autotest;superpowers:test-driven-development;superpowers:verification-before-completion,playwright,"Review settings schema, API Key display, advanced section defaults, and save failure behavior before committing.","Run UI and contract checks for basic save, advanced save, invalid reminder time, API Key masking, and old settings compatibility.",已完成,已完成,已完成,已提交,,docs/design/2026-06-08-ui-redesign-design.md:76; docs/design/2026-06-08-ui-redesign-design.md:170; docs/design/2026-06-08-ui-redesign-design.md:449; README.md:11; README.md:15; docs/usage.md:14; docs/usage.md:35; src/renderer/index.html:81; src/renderer/index.html:92; src/renderer/index.html:93; src/renderer/index.html:94; src/renderer/index.html:98; src/renderer/index.html:104; src/renderer/index.html:109; src/renderer/app.js:21; src/renderer/app.js:113; src/renderer/app.js:135; src/renderer/app.js:153; src/renderer/app.js:167; src/renderer/app.js:173; src/renderer/app.js:493; src/renderer/app.js:501; src/renderer/app.js:513; src/renderer/app.js:527; src/renderer/styles.css:138; src/renderer/styles.css:248; src/renderer/styles.css:254; src-tauri/src/store.rs:47; src-tauri/src/store.rs:70; src-tauri/src/store.rs:180; src-tauri/src/store.rs:191; src-tauri/src/store.rs:202; src-tauri/src/store.rs:537; src-tauri/src/store.rs:623; src-tauri/src/store.rs:689; src-tauri/src/store.rs:813; src-tauri/src/ai_client.rs:159,"source_doc:docs/design/2026-06-08-ui-redesign-design.md; risk:medium settings changes interact with local-data secrets and sync-data preferences; picked_reason:P1 settings layers are required before reminder confirmation and final docs; validation_limited:Playwright MCP tools unavailable in current tool list, using npx playwright fallback browser checks; assumption:advanced settings persist in sync-data/settings/organizer.json and interaction.json while API Key remains local-data/secrets.json; review_initial:checked settings schema, basic field visibility, advanced collapsed defaults, API Key password field, save failure keeping input, and invalid reminder fallback; review_regression:NODE_PATH=/tmp/wdn-playwright-runner/node_modules node /tmp/spec07_settings_layer_check.js exit 0 covers basic/advanced settings UI, API Key masking, invalid reminder fallback, advanced save payload, and save-failure input retention; review_regression:python3 /tmp/spec07_settings_contract_check.py exit 0 covers split settings files ai/reminder/organizer/interaction, local secrets, sanitize_settings, reload persistence, and old settings compatibility defaults; verification:spec07 playwright fallback exit 0; spec06/spec02/spec01 playwright fallback exit 0; spec07 contract exit 0; cargo check exit 0; npm run check exit 0; git diff --check exit 0; skills_used:ui-ux-pro-max,playwright-mcp-autotest,superpowers:test-driven-development,superpowers:verification-before-completion; mcp_used:playwright unavailable as MCP in current tool list; fallback npx playwright browser checks used; done_at:2026-06-08; continue_now:SPEC-08/Implement reminder confirmation flow"
SPEC-08,P1,8,both,Implement reminder confirmation flow,"Change reminder behavior to show today’s note confirmation first, with Start Organizing and Later actions, instead of immediately routing into the organizer.",WHEN reminder time arrives THEN confirmation view/window shows today’s notes; WHEN user clicks “开始整理” THEN app enters organizer and triggers organizing; WHEN user clicks “稍后” THEN confirmation closes without organizing; WHEN tray remains available THEN close-window behavior still hides rather than exits,MANUAL,ui-ux-pro-max;playwright-mcp-autotest;superpowers:test-driven-development;superpowers:verification-before-completion,playwright,"Review reminder event routing, confirmation state, later action, and tray/window behavior before committing.","Run local UI checks for emitted reminder route and record Win11 manual verification for timed reminder, start action, later action, and tray availability.",已完成,已完成,已完成,已提交,,docs/design/2026-06-08-ui-redesign-design.md:184; docs/design/2026-06-08-ui-redesign-design.md:455; README.md:9; docs/usage.md:22; src/renderer/index.html:78; src/renderer/index.html:86; src/renderer/index.html:88; src/renderer/index.html:89; src/renderer/app.js:17; src/renderer/app.js:50; src/renderer/app.js:68; src/renderer/app.js:223; src/renderer/app.js:237; src/renderer/app.js:312; src/renderer/app.js:528; src/renderer/app.js:540; src/renderer/app.js:578; src/renderer/styles.css:210; src/renderer/styles.css:252; src/renderer/styles.css:260; src-tauri/src/reminder.rs:18; src-tauri/src/reminder.rs:31; src-tauri/src/reminder.rs:39; src-tauri/src/reminder.rs:45; src-tauri/src/main.rs:81; src-tauri/src/main.rs:159; src-tauri/src/main.rs:175,"source_doc:docs/design/2026-06-08-ui-redesign-design.md; manual_test:Win11 timed reminder required for final evidence; risk:medium desktop timing behavior is platform-sensitive; picked_reason:P1 reminder confirmation depends on SPEC-07 reminder strategy and is required before final docs/review; validation_limited:Playwright MCP tools unavailable in current tool list, using npx playwright fallback browser checks; validation_limited:Win11 timed reminder cannot be executed in current Linux environment; fallback validates reminder route UI and records manual steps; review_initial:checked reminder event routing, confirmation state, today notes rendering, start action entering organizer, later action no-organize path, and close-window hide behavior remains in main.rs; review_regression:NODE_PATH=/tmp/wdn-playwright-runner/node_modules node /tmp/spec08_reminder_confirmation_check.js exit 0 covers emitted reminder route, today notes list, later hide without organizing, start entering organizer, and organize command invocation; validation_limited:Win11 timed reminder and tray availability were not executed in current Linux environment; validation_gap:Win11 timed reminder/tray behavior | static review of reminder loop and close-window hide plus local route UI fallback | timed OS notification and tray availability still require Win11 manual test; manual_test:On Win11 run npm run tauri:dev, set reminder time to next minute and reminder strategy confirm, verify confirmation page opens with today notes, Start Organizing triggers organizer, Later closes window without organizing, closing window hides app and tray remains usable; verification:spec08 playwright fallback exit 0; spec07/spec06/spec02/spec01 playwright fallback exit 0; cargo check exit 0; npm run check exit 0; git diff --check exit 0; skills_used:ui-ux-pro-max,playwright-mcp-autotest,superpowers:test-driven-development,superpowers:verification-before-completion; mcp_used:playwright unavailable as MCP in current tool list; fallback npx playwright browser checks used; done_at:2026-06-08; continue_now:SPEC-09/Implement validation gates for redesign scope"
SPEC-09,P1,9,infra,Implement validation gates for redesign scope,"Extend project validation so the redesigned app can be checked for required UI elements, parser behavior, JSON compatibility, documentation updates, and removed legacy UI text.",WHEN npm run check executes THEN required redesigned files and key snippets are validated; WHEN /tmp python3 parser script runs THEN #项目名 parsing cases pass; WHEN /tmp python3 JSON script runs THEN read/write and missing-field compatibility pass; WHEN docs are inspected THEN redesigned workflow documentation exists; WHEN git diff --check runs THEN no whitespace errors are reported,AUTOSERVER,superpowers:test-driven-development;superpowers:verification-before-completion,,Review that validation does not add Node test classes and that /tmp scripts remain untracked before committing.,"Run npm run check, git diff --check, cargo check, cargo test, npm run tauri:build -- --no-bundle, and record any Win11-only validation limits.",已完成,已完成,已完成,已提交,,docs/design/2026-06-08-ui-redesign-design.md:460; AGENTS.md:49; package.json:11; scripts/check-project.js:7; scripts/check-project.js:8; scripts/check-project.js:22; scripts/check-project.js:36; scripts/check-project.js:51; scripts/check-project.js:73; scripts/check-project.js:183; scripts/check-project.js:195; scripts/check-project.js:208; scripts/check-project.js:226; scripts/check-project.js:227; scripts/check-project.js:228; scripts/check-project.js:229; scripts/check-project.js:230; scripts/check-project.js:231,"source_doc:docs/design/2026-06-08-ui-redesign-design.md; validation_limited:Win11 manual checks must be recorded separately; picked_reason:P1 validation gates protect all delivered redesign behavior before docs/review; assumption:npm run tauri:build -- --no-bundle may fail if Tauri CLI lacks no-bundle support; record actual result; review_initial:checked validation does not add Node test classes, uses scripts/check-project.js gate only, and /tmp parser/json scripts remain untracked; review_regression:npm run check exit 0 validates required redesigned snippets, parser cases, JSON compatibility snippets, workflow docs, and removed renderer 禅道 text; review_regression:python3 /tmp/spec09_parser_check.py exit 0 covers #项目名 parsing cases; review_regression:python3 /tmp/spec09_json_compat_check.py exit 0 covers settings/note JSON read-write, local secrets, invalid reminder fallback, and missing advanced-field compatibility; review_regression:cd src-tauri && cargo check exit 0; cargo test exit 0 with 0 tests; npm run tauri:build -- --no-bundle exit 0 built src-tauri/target/release/work-daily-note; verification:npm run check exit 0; parser script exit 0; json script exit 0; cargo check exit 0; cargo test exit 0; tauri build --no-bundle exit 0; git diff --check exit 0; validation_limited:Win11 manual checks are still separate and not covered by Linux build; skills_used:superpowers:test-driven-development,superpowers:verification-before-completion; mcp_used:none-required; done_at:2026-06-08; continue_now:SPEC-10/Update documentation for redesigned workflow"
SPEC-10,P2,10,infra,Update documentation for redesigned workflow,"Update README or docs to describe the redesigned record, organizer, settings, reminder, and privacy behavior using the new UI terminology.","WHEN README or docs are inspected THEN chat-style record flow, organizer result tabs, settings layers, reminder confirmation, and local JSON data behavior are described; WHEN UI labels are documented THEN 日报文本 and 复制文本 terminology is used; WHEN privacy scope is documented THEN the app still does not auto-login or auto-submit to third-party systems",MANUAL,superpowers:verification-before-completion,,Review documentation text against the approved design and the project rule that feature changes update README or docs.,"Inspect README/docs for redesigned workflow coverage, UI terminology consistency, and no real secrets or credentials.",已完成,已完成,已完成,已提交,,docs/design/2026-06-08-ui-redesign-design.md:13; docs/design/2026-06-08-ui-redesign-design.md:22; docs/design/2026-06-08-ui-redesign-design.md:45; AGENTS.md:48; README.md:7; README.md:18; README.md:20; README.md:21; README.md:22; README.md:23; README.md:24; README.md:56; docs/usage.md:14; docs/usage.md:18; docs/usage.md:22; docs/usage.md:24; docs/usage.md:26; docs/usage.md:28; docs/usage.md:34; docs/usage.md:35; docs/usage.md:36; docs/usage.md:38,"source_doc:docs/design/2026-06-08-ui-redesign-design.md; risk:low documentation can drift from delivered UI if not reviewed after implementation; picked_reason:P2 final docs must match delivered redesigned workflow before vision review; review_initial:checked README/docs against approved design and project rule requiring docs updates for feature changes; review_regression:inspected README.md and docs/usage.md for chat-style record flow, organizer result tabs, settings layers, reminder confirmation, local JSON data behavior, 日报文本/复制文本 terminology, privacy boundary, and absence of real secrets; verification:npm run check exit 0; git diff --check exit 0; git status --short showed only README/docs/CSV changes before staging; skills_used:superpowers:verification-before-completion; mcp_used:none-required; done_at:2026-06-08; continue_now:REVIEW-01/Review delivered UI redesign against approved design"
